item,sku,category,unit,count_unit,conversion_factor,pack_size,pack_kind,current_unit,current_count_unit,latest_cost_cents
EL JOLGORIO PECHUGA (YELLOW) 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,29550
EL JOLGORIO TEPEZTATE (BLUE) 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,27518
EL JOLGORIO TOBASICHE (BLACK BROWN) 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,27328
EL TEQUILENO 1959 ANEJO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,12766
EL TEQUILENO 1959 PLATINUM 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8688
EL TEQUILENO 1959 REPOSADO RARE 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,25887
EL TEQUILENO 1959 RESERVA REPOSADO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8989
EL TEQUILENO BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,4900
EL TEQUILENO BLANCO 750ML - (CASE OF 12),,Spirits — Tequila & Mezcal,case,bottle,12,12,case,ml,,58800
Fennel Each,,Produce,each,each,1,,each,units,,0
FENNEL SEED 450GM (Galaxy) EA,,Herbs & Spices,each,each,1,,each,g,,900
FINEST CALL MANGO PUREE 1000ML BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,1512
FIRST PRESS COFFEE MIXER 750ML BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,1722
FIRST PRESS COFFEE MIXER 750ML - (CASE OF 6),,Non-Alcoholic & Mixers,case,bottle,6,6,case,ml,,10332
G4 ANEJO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,17280
G4 BLANCO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9550
G4 REPOSADO 750ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,10883
Garlic Peeled 1kg Bag,,Produce,each,each,1,,,kg,,580
GARLIC POWDER 540GM (Windsor Farm) EA,,Herbs & Spices,each,each,1,,each,g,,900
Giaconda 'Nantua Les Deux' Chardonnay,,Wine — White,bottle,bottle,1,,,ml,,8500
GIFFARD AMARETTO 700ML BOTTLE,,Liqueurs & Aperitifs,bottle,bottle,1,,,ml,,4136
GIFFARD COCONUT SYRUP 1000ML BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,12840
GIFFARD COCONUT SYRUP 1000ML - (CASE OF 6),,Non-Alcoholic & Mixers,case,bottle,6,6,case,ml,,11760
GIFFARD ROSE SYRUP 1L BOTTLE,,Non-Alcoholic & Mixers,bottle,bottle,1,,,ml,,14235
GIFFARD STRAWBERRY 1000ML BOTTLE,,Produce,each,each,1,,,ml,,2136
GIFFARD VANILLA SYRUP 1L - (CASE OF 6),,Non-Alcoholic & Mixers,case,bottle,6,6,case,ml,,12840
GRACIAS A DIOS ESPADIN 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8748
GRAN CENTENARIO ANEJO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,8276
HAZELNUT KERNALS S/ON 1KG (Natures Secret) EA (12),,Dry / Pantry,each,each,1,,each,kg,,3700
HAZELNUT ROASTED 1KG (Natures Secret) EA (12),,Dry / Pantry,each,each,1,,each,kg,,2600
HEAPS NORMAL CAN - (CASE OF 24),,Beer & Cider,case,can,24,24,case,units,,5321
HERRADURA AGAVE NECTAR 473ML BOTTLE,,Oils & Condiments,each,each,1,,,ml,,13488
HERRADURA AGAVE NECTAR 473ML - (CASE OF 12),,Oils & Condiments,case,each,12,12,case,ml,,13488
HERRADURA ANEJO 700ML BOTTLE,,Spirits — Tequila & Mezcal,bottle,bottle,1,,,ml,,9173
